  
 Results from TRNSYS Input File: 
 C:\Users\gawa\Desktop\Course in DTU\47330 energy storage and conversion\Lectur
 es\Lecture 08\47330SDHCal\47330-MarstalSunstore4.trd                          
                                                                               
                                                                   
 Initiated at time: 2019-11-28 AT  14:37:20
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7710000000000000E+03	  -1.2502188571923155E+07	  -2.1648028408417897E+06	  +0.0000000000000000E+00	  -9.4313347964167697E+03	  +1.4529675699673522E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3667499038679562E+04	  -8.1435002303543251E+03	  -1.4791390389345717E+04	  +2.5023367427094209E+08	  +5.8656089653601136E+01	  +7.3387573116732284E+01	  +4.2509152258751236E+01	  +4.6838541030883789E+00	
  +8.7720000000000000E+03	  -1.2510029670313505E+07	  -2.1509245470555173E+06	  +0.0000000000000000E+00	  -9.4296369352062393E+03	  +1.4543277701780757E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2688359768334951E+04	  -7.9350949140655457E+03	  -1.4581942588652628E+04	  +2.5004360959811905E+08	  +5.8634323956716941E+01	  +7.3378678763298510E+01	  +4.2505100084024441E+01	  +5.6478123664855957E+00	
  +8.7730000000000000E+03	  -1.2523249227228995E+07	  -2.1394433197113937E+06	  +0.0000000000000000E+00	  -9.4281849661271026E+03	  +1.4553130444819130E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2220889201696111E+04	  -7.8367271314828522E+03	  -1.4482477987532631E+04	  +2.4986811200862926E+08	  +5.8614226443170601E+01	  +7.3370118890955439E+01	  +4.2501634764026505E+01	  +6.1012501716613770E+00	
  +8.7740000000000000E+03	  -1.2522575077341294E+07	  -2.1218865292703602E+06	  +5.1204394195623143E+05	  -9.5045558405551346E+03	  +1.3889894958957206E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.1664947095098600E+04	  -7.7521752464919982E+03	  -1.4353403344208447E+04	  +2.4963958174733683E+08	  +5.8588055770197684E+01	  +7.3345586959572401E+01	  +4.2683904154069531E+01	  +6.6762499809265137E+00	
  +8.7750000000000000E+03	  -1.2582960552650912E+07	  -2.0637727285376950E+06	  +0.0000000000000000E+00	  -9.5076241447681987E+03	  +1.4009323715870580E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.1397012833242094E+04	  -7.7045036242031865E+03	  -1.4296885902615291E+04	  +2.4912597289410755E+08	  +5.8529238660998040E+01	  +7.3311822419769399E+01	  +4.2691227075819086E+01	  +6.9050002098083496E+00	
  +8.7760000000000000E+03	  -1.2627489129298978E+07	  -2.0307217013890888E+06	  +0.0000000000000000E+00	  -9.4452961275937269E+03	  +1.4476875698525926E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.1850719514621975E+04	  -7.7844300254895579E+03	  -1.4405057686380551E+04	  +2.4865843183293575E+08	  +5.8475697111865159E+01	  +7.3294263632090434E+01	  +4.2542472858218922E+01	  +6.3850002288818359E+00	
  +8.7770000000000000E+03	  -1.2624775117879039E+07	  -2.0300526126423646E+06	  +0.0000000000000000E+00	  -9.4287666462552952E+03	  +1.4562467460295917E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2279902836907444E+04	  -7.8732220850189424E+03	  -1.4501041976065198E+04	  +2.4846063959462056E+08	  +5.8453046474893696E+01	  +7.3288220591850688E+01	  +4.2503023022089010E+01	  +5.9331250190734863E+00	
  +8.7780000000000000E+03	  -1.2630319977653055E+07	  -2.0259017257029528E+06	  +0.0000000000000000E+00	  -9.4220327768538937E+03	  +1.4605350896331895E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2490365068246938E+04	  -7.9179337636753971E+03	  -1.4548073314724934E+04	  +2.4832741201508176E+08	  +5.8437789609586822E+01	  +7.3282923766185206E+01	  +4.2486951734734831E+01	  +5.7093749046325684E+00	
  +8.7790000000000000E+03	  -1.2634648055465354E+07	  -2.0209147792527415E+06	  +0.0000000000000000E+00	  -9.4188749582917953E+03	  +1.4626852843131509E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2740370671568802E+04	  -7.9721525904702967E+03	  -1.4602802699161752E+04	  +2.4822566905570728E+08	  +5.8426138278590095E+01	  +7.3277758667596032E+01	  +4.2479415174920760E+01	  +5.4500002861022949E+00	
  +8.7800000000000000E+03	  -1.2641686092040917E+07	  -2.0163857462082165E+06	  +0.0000000000000000E+00	  -9.4171677250334706E+03	  +1.4638285374806356E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3032728788551285E+04	  -8.0358631414250240E+03	  -1.4666267667484080E+04	  +2.4813914495045879E+08	  +5.8416229769975409E+01	  +7.3272543431896068E+01	  +4.2475340632538121E+01	  +5.1500000953674316E+00	
  +8.7810000000000000E+03	  -1.2647982619232256E+07	  -2.0114808997890186E+06	  +0.0000000000000000E+00	  -9.4160938202280049E+03	  +1.4646171433279209E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3325887026867189E+04	  -8.0998991119967213E+03	  -1.4729724367454888E+04	  +2.4806002746457902E+08	  +5.8407169447558196E+01	  +7.3267289790983028E+01	  +4.2472777613909329E+01	  +4.8499999046325684E+00	
  +8.7820000000000000E+03	  -1.2654130487257235E+07	  -2.0066287361379536E+06	  +0.0000000000000000E+00	  -9.4153556693677201E+03	  +1.4651577840569146E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3569564223182642E+04	  -8.1533428360824300E+03	  -1.4782435634116751E+04	  +2.4798593659769964E+08	  +5.8398684760075611E+01	  +7.3262125943051814E+01	  +4.2471015917345397E+01	  +4.6000003814697266E+00	
  +8.7830000000000000E+03	  -1.2660153628896385E+07	  -2.0018322350720055E+06	  +0.0000000000000000E+00	  -9.4147867488113443E+03	  +1.4655830092611996E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3813573312462191E+04	  -8.2068736174881869E+03	  -1.4835174792514033E+04	  +2.4791516852456930E+08	  +5.8390580590026779E+01	  +7.3257091171077505E+01	  +4.2469658111721593E+01	  +4.3500003814697266E+00	
