  
 Results from TRNSYS Input File: 
 C:\Users\s192476\Downloads\47330SDHCal\47330SDHCal\47330-MarstalSunstore4.trd 
                                                                               
                                                                               
                                                                   
 Initiated at time: 2019-11-21 AT  15:54:54
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7690000000000000E+03	  -1.6202548827412864E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3707025174639584E+03	  +1.6174799701963771E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.1252631270060992E+04	  -7.8463319975916438E+03	  -1.1195564093773730E+04	  +1.0949468060698633E+08	  +4.2539037334634941E+01	  +5.5534475011898024E+01	  +3.9977810304209925E+01	  +3.5328125953674316E+00	
  +8.7700000000000000E+03	  -1.6186378152037434E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3701140881515148E+03	  +1.6174800169579079E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.1312595322427340E+04	  -7.8607188779558237E+03	  -1.1206846779319709E+04	  +1.0942480789460292E+08	  +4.2531035698898933E+01	  +5.5518652141519986E+01	  +3.9976405938309099E+01	  +3.4645833969116211E+00	
  +8.7710000000000000E+03	  -1.6172991616012119E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3670031629235564E+03	  +1.6174800657233594E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0085400279613117E+04	  -7.5966206595145286E+03	  -1.0941516417390425E+04	  +1.0937120618802187E+08	  +4.2524897375134763E+01	  +5.5505504383175072E+01	  +3.9968981295760280E+01	  +4.6838541030883789E+00	
  +8.7720000000000000E+03	  -1.6160639260692447E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3705776659322510E+03	  +1.6174800919583058E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9118902929362623E+04	  -7.3909244126462054E+03	  -1.0732149353297416E+04	  +1.0933222926112050E+08	  +4.2520433841939393E+01	  +5.5496985038752626E+01	  +3.9977512329193914E+01	  +5.6478123664855957E+00	
  +8.7730000000000000E+03	  -1.6155454024439622E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3702335665184437E+03	  +1.6174800002475176E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8661983086176035E+04	  -7.2931258805377583E+03	  -1.0633264584722558E+04	  +1.0930091114929017E+08	  +4.2516847375717347E+01	  +5.5491118398837848E+01	  +3.9976691089542825E+01	  +6.1012501716613770E+00	
  +8.7740000000000000E+03	  -1.6149537078923970E+07	  +0.0000000000000000E+00	  +5.2280226371897978E+05	  -8.3683949434176830E+03	  +1.6173540780963298E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8101111506335896E+04	  -7.1683880468273646E+03	  -1.0509063261405161E+04	  +1.0953832377494398E+08	  +4.2544035233248728E+01	  +5.5489222284615785E+01	  +3.9972302967583971E+01	  +6.6762499809265137E+00	
  +8.7750000000000000E+03	  -1.6166568784527980E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3719971518714283E+03	  +1.6175441640913367E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.7893962838383159E+04	  -7.1209907575686211E+03	  -1.0464328334801365E+04	  +1.0977199782183851E+08	  +4.2570794958761446E+01	  +5.5510185703293700E+01	  +3.9980900123798165E+01	  +6.9050002098083496E+00	
  +8.7760000000000000E+03	  -1.6195637469746755E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3711514759806760E+03	  +1.6174800111044513E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8416131723847269E+04	  -7.2325082864296855E+03	  -1.0582417057826951E+04	  +1.0971781371226439E+08	  +4.2564589939767579E+01	  +5.5538689563579695E+01	  +3.9978881804249824E+01	  +6.3850002288818359E+00	
  +8.7770000000000000E+03	  -1.6205842700484868E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3720483313227742E+03	  +1.6174799740016444E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8865433448403688E+04	  -7.3302544230768199E+03	  -1.0681467503386208E+04	  +1.0964421148365222E+08	  +4.2556161209829611E+01	  +5.5546888342811705E+01	  +3.9981022270460087E+01	  +5.9331250190734863E+00	
  +8.7780000000000000E+03	  -1.6201643485295745E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3708957943535370E+03	  +1.6174800167041562E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9082302139733569E+04	  -7.3778339265626446E+03	  -1.0728403030195361E+04	  +1.0956672020624651E+08	  +4.2547287116447976E+01	  +5.5541146485929602E+01	  +3.9978271585569303E+01	  +5.7093749046325684E+00	
  +8.7790000000000000E+03	  -1.6191745416846795E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3718066501528283E+03	  +1.6174799279344313E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9335490936196089E+04	  -7.4341433375501247E+03	  -1.0782082292684692E+04	  +1.0949783723800778E+08	  +4.2539398823558514E+01	  +5.5531103733427486E+01	  +3.9980445465758542E+01	  +5.4500002861022949E+00	
  +8.7800000000000000E+03	  -1.6181630815403689E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3706279866797795E+03	  +1.6174800263107991E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9628664213952579E+04	  -7.4981254805615317E+03	  -1.0844388334577405E+04	  +1.0943742185950303E+08	  +4.2532480216348944E+01	  +5.5520505463835377E+01	  +3.9977632426443392E+01	  +5.1500000953674316E+00	
  +8.7810000000000000E+03	  -1.6171242897429366E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3674417976854947E+03	  +1.6174800709189687E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9921479895218872E+04	  -7.5610761079616823E+03	  -1.0906661731511609E+04	  +1.0938784204109576E+08	  +4.2526802468438206E+01	  +5.5509755563463656E+01	  +3.9970028156767299E+01	  +4.8499999046325684E+00	
  +8.7820000000000000E+03	  -1.6163022655614059E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3707144637602069E+03	  +1.6174799491502833E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0168708052932096E+04	  -7.6165806876821425E+03	  -1.0958635477237935E+04	  +1.0934791309054495E+08	  +4.2522229912046299E+01	  +5.5501166044937030E+01	  +3.9977838815656824E+01	  +4.6000003814697266E+00	
  +8.7830000000000000E+03	  -1.6156678362674762E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3701496691068405E+03	  +1.6174800074009493E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0414721823427622E+04	  -7.6701135890775668E+03	  -1.1011009888995959E+04	  +1.0931344902350312E+08	  +4.2518283179465818E+01	  +5.5494437081277205E+01	  +3.9976490857056902E+01	  +4.3500003814697266E+00	
  +8.7840000000000000E+03	  -1.6150291345732052E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3669719025545510E+03	  +1.6174800711847708E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0709853416626000E+04	  -7.7330685441339838E+03	  -1.1074150443543571E+04	  +1.0928602030555429E+08	  +4.2515142116205986E+01	  +5.5487714993804993E+01	  +3.9968906688674352E+01	  +4.0500001907348633E+00	
  +8.7850000000000000E+03	  -1.5731311363294024E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3703048692672346E+03	  +1.6174933665807985E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.1052409176862697E+04	  -7.7993688215221982E+03	  -1.1166509943557696E+04	  +1.0948647863556024E+08	  +4.2538098066851710E+01	  +5.5616710624066371E+01	  +3.9976861263167621E+01	  +3.7500002384185791E+00	
  +8.7860000000000000E+03	  -1.5887765835619103E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3697770446578070E+03	  +1.6174799983351711E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.1405442575507375E+04	  -7.8636853814270089E+03	  -1.1264415959507553E+04	  +1.0979297786835741E+08	  +4.2573197537454078E+01	  +5.5771468723965867E+01	  +3.9975601538562785E+01	  +3.4500000476837158E+00	
  +8.7870000000000000E+03	  -1.5963164411333285E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3666131386141024E+03	  +1.6174800881467711E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.1732652189901171E+04	  -7.9266474070213208E+03	  -1.1345003109035275E+04	  +1.0998982400450577E+08	  +4.2595739829341319E+01	  +5.5845783608289359E+01	  +3.9968050450152987E+01	  +3.1500000953674316E+00	
  +8.7880000000000000E+03	  -1.6008978676184837E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3701046596696342E+03	  +1.6174799155445505E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.2053121636753116E+04	  -7.9930292048305000E+03	  -1.1419272042133971E+04	  +1.1012775305694561E+08	  +4.2611535094723038E+01	  +5.5890751116786561E+01	  +3.9976383435965715E+01	  +2.8499999046325684E+00	
  +8.7890000000000000E+03	  -1.6039679834133115E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3696317202678292E+03	  +1.6174800114653818E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.2365744465858108E+04	  -8.0573738634351621E+03	  -1.1490314997906855E+04	  +1.1022606681977320E+08	  +4.2622793723322800E+01	  +5.5920734936744793E+01	  +3.9975254702309854E+01	  +2.5500001907348633E+00	
  +8.7900000000000000E+03	  -1.6059897651578173E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3664553022779619E+03	  +1.6174800757057566E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.2673143084931478E+04	  -8.1203294600861536E+03	  -1.1559121229814187E+04	  +1.1029986576060267E+08	  +4.2631244980216628E+01	  +5.5940329282119009E+01	  +3.9967673752453372E+01	  +2.2500002384185791E+00	
