HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
10-11-18 12.00;10-11-18 13.00;DK1;2265.83;1868.90;649.41;-88.00;-572.00;-468.00
10-11-18 13.00;10-11-18 14.00;DK1;2273.38;1696.26;605.45;-235.00;-586.00;-210.00
10-11-18 14.00;10-11-18 15.00;DK1;2297.27;1456.89;562.27;-418.00;-586.00;333.00
10-11-18 15.00;10-11-18 16.00;DK1;2458.63;1269.50;569.12;-893.00;-550.00;976.00
10-11-18 16.00;10-11-18 17.00;DK1;2654.52;1169.99;557.92;-895.00;-587.00;1300.00
10-11-18 17.00;10-11-18 18.00;DK1;2445.12;1139.81;590.99;-771.00;-585.00;1055.00
10-11-18 18.00;10-11-18 19.00;DK1;2278.63;1128.86;611.45;-293.00;-589.00;737.00
10-11-18 19.00;10-11-18 20.00;DK1;2150.54;1075.42;627.27;395.00;-589.00;-31.00
10-11-18 20.00;10-11-18 21.00;DK1;2006.20;1148.26;625.22;916.00;-588.00;-724.00
10-11-18 21.00;10-11-18 22.00;DK1;1969.83;1297.79;622.00;626.00;-588.00;-438.00
10-11-18 22.00;10-11-18 23.00;DK1;1874.19;1354.26;634.21;1299.00;-577.00;-1131.00
10-11-18 23.00;11-11-18 00.00;DK1;1659.99;1519.45;639.47;744.00;-381.00;-1206.00
11-11-18 00.00;11-11-18 01.00;DK1;1579.55;1536.29;621.30;802.00;-134.00;-1574.00
11-11-18 01.00;11-11-18 02.00;DK1;1531.04;1389.63;607.99;721.00;-159.00;-1474.00
11-11-18 02.00;11-11-18 03.00;DK1;1539.23;1297.25;513.57;1094.00;-431.00;-1307.00
11-11-18 03.00;11-11-18 04.00;DK1;1561.80;1185.58;478.00;1184.00;-374.00;-1234.00
11-11-18 04.00;11-11-18 05.00;DK1;1604.87;1061.51;521.57;1426.00;-397.00;-1418.00
11-11-18 05.00;11-11-18 06.00;DK1;1709.62;974.86;574.21;1469.00;-356.00;-1327.00
11-11-18 06.00;11-11-18 07.00;DK1;1874.40;1044.41;583.11;1485.00;-509.00;-1223.00
11-11-18 07.00;11-11-18 08.00;DK1;2003.17;1066.64;617.33;1459.00;-452.00;-1208.00
11-11-18 08.00;11-11-18 09.00;DK1;2099.59;1101.55;619.24;1097.00;-359.00;-806.00
11-11-18 09.00;11-11-18 10.00;DK1;2290.03;1018.47;604.36;1198.00;-520.00;-364.00
11-11-18 10.00;11-11-18 11.00;DK1;2266.07;1175.49;575.24;1357.00;-400.00;-893.00
11-11-18 11.00;11-11-18 12.00;DK1;2163.76;1207.59;581.65;1471.00;-574.00;-1279.00
11-11-18 12.00;11-11-18 13.00;DK1;2157.74;1186.98;584.96;1479.00;-582.00;-1327.00
11-11-18 13.00;11-11-18 14.00;DK1;2157.14;1137.60;568.18;1373.00;-589.00;-988.00
11-11-18 14.00;11-11-18 15.00;DK1;2185.83;1125.86;543.25;806.00;-580.00;-327.00
11-11-18 15.00;11-11-18 16.00;DK1;2340.52;1102.84;568.44;293.00;-451.00;55.00
11-11-18 16.00;11-11-18 17.00;DK1;2720.67;1148.11;583.75;327.00;-473.00;623.00
11-11-18 17.00;11-11-18 18.00;DK1;2634.11;1013.45;427.87;568.00;-582.00;859.00
11-11-18 18.00;11-11-18 19.00;DK1;2462.44;962.63;403.69;671.00;-589.00;609.00
11-11-18 19.00;11-11-18 20.00;DK1;2276.89;1012.66;591.74;720.00;-589.00;100.00
11-11-18 20.00;11-11-18 21.00;DK1;2131.97;1364.74;581.64;227.00;-553.00;122.00
11-11-18 21.00;11-11-18 22.00;DK1;1952.99;1363.60;590.64;-41.00;-99.00;-219.00
11-11-18 22.00;11-11-18 23.00;DK1;1798.94;1399.30;562.21;399.00;-551.00;-568.00
11-11-18 23.00;12-11-18 00.00;DK1;1784.53;1144.88;521.01;733.00;-590.00;-377.00
12-11-18 00.00;12-11-18 01.00;DK1;1682.65;1174.51;483.56;34.00;-566.00;87.00
