HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
20-02-19 01.00;20-02-19 02.00;DK1;2009.15;1933.67;556.55;-110.00;-364.00;-519.00
20-02-19 02.00;20-02-19 03.00;DK1;1998.96;1732.33;544.46;-8.00;-136.00;-639.00
20-02-19 03.00;20-02-19 04.00;DK1;2052.45;1479.28;551.14;-143.00;-459.00;-179.00
20-02-19 04.00;20-02-19 05.00;DK1;2145.79;1213.74;520.80;-268.00;-234.00;9.00
20-02-19 05.00;20-02-19 06.00;DK1;2475.62;996.48;517.80;-352.00;-557.00;587.00
20-02-19 06.00;20-02-19 07.00;DK1;2860.35;875.74;528.02;-351.00;-582.00;1113.00
20-02-19 07.00;20-02-19 08.00;DK1;2938.15;714.19;459.10;-351.00;-590.00;1364.00
20-02-19 08.00;20-02-19 09.00;DK1;2886.13;586.32;381.63;-294.00;-590.00;1380.00
20-02-19 09.00;20-02-19 10.00;DK1;2936.55;532.17;312.73;-271.00;-590.00;1380.00
20-02-19 10.00;20-02-19 11.00;DK1;2915.32;504.24;282.54;-226.00;-590.00;1369.00
20-02-19 11.00;20-02-19 12.00;DK1;2837.31;592.74;223.14;-36.00;-590.00;1105.00
20-02-19 12.00;20-02-19 13.00;DK1;2870.24;644.19;214.14;-94.00;-590.00;1299.00
20-02-19 13.00;20-02-19 14.00;DK1;2818.38;617.60;209.06;475.00;-590.00;800.00
20-02-19 14.00;20-02-19 15.00;DK1;2754.87;647.59;216.06;155.00;-590.00;889.00
20-02-19 15.00;20-02-19 16.00;DK1;2800.38;721.40;255.14;-151.00;-588.00;1304.00
20-02-19 16.00;20-02-19 17.00;DK1;3016.23;754.63;270.50;-271.00;-590.00;1345.00
20-02-19 17.00;20-02-19 18.00;DK1;2980.47;863.14;267.91;-302.00;-583.00;1275.00
20-02-19 18.00;20-02-19 19.00;DK1;2780.02;991.54;279.58;-325.00;-581.00;1213.00
20-02-19 19.00;20-02-19 20.00;DK1;2654.23;1139.89;341.14;-202.00;-590.00;977.00
20-02-19 20.00;20-02-19 21.00;DK1;2474.79;1366.88;435.18;-237.00;-590.00;471.00
20-02-19 21.00;20-02-19 22.00;DK1;2301.27;1412.79;465.96;-260.00;-582.00;7.00
20-02-19 22.00;20-02-19 23.00;DK1;2114.03;1254.60;403.01;76.00;-446.00;-368.00
20-02-19 23.00;21-02-19 00.00;DK1;1991.97;1229.21;378.50;639.00;-76.00;-1026.00
21-02-19 00.00;21-02-19 01.00;DK1;1967.91;1393.61;376.62;599.00;84.00;-1255.00
21-02-19 01.00;21-02-19 02.00;DK1;1940.76;1575.38;392.19;543.00;-3.00;-1212.00
21-02-19 02.00;21-02-19 03.00;DK1;1926.80;1369.87;416.01;623.00;-71.00;-1246.00
21-02-19 03.00;21-02-19 04.00;DK1;1983.45;1286.83;467.10;459.00;-155.00;-947.00
21-02-19 04.00;21-02-19 05.00;DK1;2134.88;1416.81;446.50;104.00;-313.00;-407.00
21-02-19 05.00;21-02-19 06.00;DK1;2477.87;1473.45;478.53;-259.00;-524.00;-146.00
21-02-19 06.00;21-02-19 07.00;DK1;2855.58;1474.59;483.75;-348.00;-583.00;430.00
21-02-19 07.00;21-02-19 08.00;DK1;2996.46;1243.54;543.35;-376.00;-404.00;746.00
21-02-19 08.00;21-02-19 09.00;DK1;2960.27;973.09;554.69;-129.00;-570.00;378.00
21-02-19 09.00;21-02-19 10.00;DK1;2983.20;872.20;489.39;167.00;-329.00;22.00
21-02-19 10.00;21-02-19 11.00;DK1;2991.74;854.73;519.70;675.00;-499.00;-136.00
21-02-19 11.00;21-02-19 12.00;DK1;2900.72;853.45;502.39;773.00;-174.00;-727.00
21-02-19 12.00;21-02-19 13.00;DK1;2883.92;842.73;529.52;576.00;-48.00;-743.00
21-02-19 13.00;21-02-19 14.00;DK1;2845.20;848.65;494.17;625.00;-202.00;-331.00
21-02-19 14.00;21-02-19 15.00;DK1;2746.59;651.18;363.80;388.00;-104.00;-72.00
21-02-19 15.00;21-02-19 16.00;DK1;2744.23;444.17;203.93;-96.00;23.00;571.00
21-02-19 16.00;21-02-19 17.00;DK1;2962.83;469.37;192.88;-335.00;-267.00;1098.00
21-02-19 17.00;21-02-19 18.00;DK1;2936.14;501.22;272.81;-365.00;-571.00;1233.00
21-02-19 18.00;21-02-19 19.00;DK1;2787.97;464.10;285.44;-340.00;-590.00;1211.00
21-02-19 19.00;21-02-19 20.00;DK1;2608.45;457.74;272.40;-371.00;-531.00;1353.00
21-02-19 20.00;21-02-19 21.00;DK1;2494.74;432.19;185.94;-276.00;-42.00;1351.00
21-02-19 21.00;21-02-19 22.00;DK1;2293.98;395.17;252.29;-361.00;98.00;1226.00
21-02-19 22.00;21-02-19 23.00;DK1;2053.17;413.93;384.44;-258.00;-28.00;704.00
21-02-19 23.00;22-02-19 00.00;DK1;1987.99;467.94;437.75;622.00;-504.00;87.00
22-02-19 00.00;22-02-19 01.00;DK1;1971.57;478.49;422.16;743.00;-276.00;-295.00
22-02-19 01.00;22-02-19 02.00;DK1;1946.63;523.90;422.32;732.00;-41.00;-361.00
22-02-19 02.00;22-02-19 03.00;DK1;1906.36;553.48;348.09;730.00;-349.00;16.00
22-02-19 03.00;22-02-19 04.00;DK1;1957.67;514.81;418.04;613.00;-574.00;287.00
22-02-19 04.00;22-02-19 05.00;DK1;2133.79;540.72;387.15;120.00;-562.00;712.00
22-02-19 05.00;22-02-19 06.00;DK1;2508.48;614.72;289.53;-185.00;-351.00;891.00
22-02-19 06.00;22-02-19 07.00;DK1;2835.33;704.38;306.22;-212.00;-186.00;261.00
22-02-19 07.00;22-02-19 08.00;DK1;2957.54;813.83;301.97;-164.00;-548.00;552.00
22-02-19 08.00;22-02-19 09.00;DK1;2974.11;924.11;324.69;-176.00;-590.00;501.00
22-02-19 09.00;22-02-19 10.00;DK1;2983.51;993.44;327.64;-222.00;-589.00;468.00
22-02-19 10.00;22-02-19 11.00;DK1;2926.11;930.57;366.91;-341.00;-577.00;790.00
22-02-19 11.00;22-02-19 12.00;DK1;2783.40;875.58;356.75;-258.00;-589.00;650.00
22-02-19 12.00;22-02-19 13.00;DK1;2729.17;816.15;335.23;-245.00;-590.00;971.00
22-02-19 13.00;22-02-19 14.00;DK1;2617.60;723.48;295.48;-119.00;-589.00;939.00
22-02-19 14.00;22-02-19 15.00;DK1;2469.90;576.43;217.74;33.00;-559.00;572.00
22-02-19 15.00;22-02-19 16.00;DK1;2495.60;456.19;192.16;-261.00;-342.00;829.00
22-02-19 16.00;22-02-19 17.00;DK1;2730.60;407.18;204.29;-107.00;-485.00;874.00
22-02-19 17.00;22-02-19 18.00;DK1;2809.23;324.24;231.99;-141.00;-392.00;953.00
22-02-19 18.00;22-02-19 19.00;DK1;2594.88;423.93;275.35;-438.00;-368.00;1156.00
22-02-19 19.00;22-02-19 20.00;DK1;2421.01;528.11;346.73;-375.00;-360.00;767.00
22-02-19 20.00;22-02-19 21.00;DK1;2246.99;576.19;431.47;-297.00;-165.00;636.00
22-02-19 21.00;22-02-19 22.00;DK1;2113.68;677.15;441.19;-365.00;-85.00;394.00
22-02-19 22.00;22-02-19 23.00;DK1;2001.00;678.19;480.15;33.00;-315.00;158.00
22-02-19 23.00;23-02-19 00.00;DK1;1929.80;574.34;454.21;526.00;-409.00;-98.00
23-02-19 00.00;23-02-19 01.00;DK1;1869.76;527.42;442.84;491.00;-236.00;-157.00
23-02-19 01.00;23-02-19 02.00;DK1;1842.57;462.64;321.49;362.00;-154.00;-102.00
23-02-19 02.00;23-02-19 03.00;DK1;1837.07;422.24;290.68;282.00;-25.00;-38.00
23-02-19 03.00;23-02-19 04.00;DK1;1852.17;443.20;204.76;615.00;-128.00;-222.00
23-02-19 04.00;23-02-19 05.00;DK1;1902.07;466.12;219.24;618.00;-237.00;-291.00
23-02-19 05.00;23-02-19 06.00;DK1;2000.56;508.53;261.41;536.00;-260.00;-77.00
23-02-19 06.00;23-02-19 07.00;DK1;2159.10;530.44;222.27;-277.00;223.00;135.00
23-02-19 07.00;23-02-19 08.00;DK1;2333.56;478.79;188.86;-403.00;86.00;629.00
23-02-19 08.00;23-02-19 09.00;DK1;2391.63;409.02;198.40;-314.00;317.00;98.00
23-02-19 09.00;23-02-19 10.00;DK1;2389.08;318.80;208.35;564.00;153.00;-509.00
23-02-19 10.00;23-02-19 11.00;DK1;2349.69;267.99;159.21;676.00;375.00;-918.00
23-02-19 11.00;23-02-19 12.00;DK1;2284.52;257.82;157.53;573.00;404.00;-905.00
23-02-19 12.00;23-02-19 13.00;DK1;2211.23;279.45;182.47;590.00;345.00;-831.00
23-02-19 13.00;23-02-19 14.00;DK1;2170.68;277.59;173.88;592.00;-161.00;-380.00
23-02-19 14.00;23-02-19 15.00;DK1;2148.86;252.74;198.14;561.00;-395.00;128.00
23-02-19 15.00;23-02-19 16.00;DK1;2182.11;190.92;239.72;-281.00;-195.00;711.00
23-02-19 16.00;23-02-19 17.00;DK1;2421.97;230.65;291.77;-390.00;-261.00;1224.00
23-02-19 17.00;23-02-19 18.00;DK1;2567.20;377.21;304.35;-356.00;-385.00;1324.00
23-02-19 18.00;23-02-19 19.00;DK1;2397.44;551.20;306.34;-401.00;-403.00;849.00
23-02-19 19.00;23-02-19 20.00;DK1;2246.28;705.84;280.64;-402.00;-253.00;512.00
23-02-19 20.00;23-02-19 21.00;DK1;2137.16;806.77;262.43;73.00;-278.00;70.00
23-02-19 21.00;23-02-19 22.00;DK1;2007.56;871.71;270.36;-390.00;0.00;114.00
23-02-19 22.00;23-02-19 23.00;DK1;1916.93;944.91;249.92;-304.00;77.00;-45.00
23-02-19 23.00;24-02-19 00.00;DK1;1849.82;1039.15;198.53;182.00;-124.00;-413.00
24-02-19 00.00;24-02-19 01.00;DK1;1796.17;1054.58;182.25;-278.00;-67.00;-66.00
24-02-19 01.00;24-02-19 02.00;DK1;1769.51;1057.17;177.54;-346.00;-52.00;-27.00
24-02-19 02.00;24-02-19 03.00;DK1;1760.13;997.70;178.79;-331.00;-34.00;-27.00
24-02-19 03.00;24-02-19 04.00;DK1;1770.72;939.77;194.47;-344.00;75.00;-40.00
24-02-19 04.00;24-02-19 05.00;DK1;1828.54;914.81;167.23;-317.00;106.00;-28.00
24-02-19 05.00;24-02-19 06.00;DK1;1926.52;873.74;169.00;-19.00;-36.00;-34.00
24-02-19 06.00;24-02-19 07.00;DK1;2059.25;797.69;169.04;-42.00;105.00;-28.00
24-02-19 07.00;24-02-19 08.00;DK1;2182.78;713.00;150.72;-50.00;254.00;-27.00
24-02-19 08.00;24-02-19 09.00;DK1;2225.39;502.66;123.82;381.00;-84.00;-54.00
24-02-19 09.00;24-02-19 10.00;DK1;2227.61;389.98;142.01;573.00;75.00;-541.00
24-02-19 10.00;24-02-19 11.00;DK1;2228.87;394.84;179.79;674.00;-161.00;-407.00
24-02-19 11.00;24-02-19 12.00;DK1;2195.66;300.97;208.54;711.00;-317.00;-37.00
24-02-19 12.00;24-02-19 13.00;DK1;2149.57;320.03;138.77;702.00;-312.00;-32.00
24-02-19 13.00;24-02-19 14.00;DK1;2134.52;411.09;258.70;680.00;-188.00;-141.00
24-02-19 14.00;24-02-19 15.00;DK1;2118.33;421.93;289.53;682.00;-340.00;-46.00
24-02-19 15.00;24-02-19 16.00;DK1;2171.70;362.94;238.96;572.00;-448.00;366.00
24-02-19 16.00;24-02-19 17.00;DK1;2446.31;373.34;188.97;-242.00;-96.00;772.00
24-02-19 17.00;24-02-19 18.00;DK1;2571.90;374.13;131.12;-421.00;-431.00;1344.00
24-02-19 18.00;24-02-19 19.00;DK1;2409.30;354.47;116.02;-439.00;-350.00;1329.00
24-02-19 19.00;24-02-19 20.00;DK1;2240.85;332.87;107.17;-454.00;-191.00;1092.00
24-02-19 20.00;24-02-19 21.00;DK1;2102.29;334.45;162.71;-443.00;0.00;896.00
24-02-19 21.00;24-02-19 22.00;DK1;1971.63;328.24;234.44;-439.00;0.00;672.00
24-02-19 22.00;24-02-19 23.00;DK1;1881.84;320.32;158.19;-403.00;201.00;493.00
24-02-19 23.00;25-02-19 00.00;DK1;1859.27;363.48;105.41;-138.00;426.00;55.00
25-02-19 00.00;25-02-19 01.00;DK1;1828.60;331.37;100.12;-226.00;462.00;171.00
25-02-19 01.00;25-02-19 02.00;DK1;1834.67;295.52;78.33;-289.00;506.00;259.00
25-02-19 02.00;25-02-19 03.00;DK1;1850.05;304.37;69.40;-295.00;422.00;362.00
25-02-19 03.00;25-02-19 04.00;DK1;1912.89;269.76;199.81;-25.00;263.00;303.00
25-02-19 04.00;25-02-19 05.00;DK1;2063.20;278.80;205.60;-327.00;151.00;798.00
25-02-19 05.00;25-02-19 06.00;DK1;2478.37;311.95;218.24;-465.00;-23.00;1071.00
25-02-19 06.00;25-02-19 07.00;DK1;2861.63;329.02;270.84;-473.00;-539.00;1354.00
25-02-19 07.00;25-02-19 08.00;DK1;2943.71;343.85;332.90;-424.00;-436.00;1253.00
25-02-19 08.00;25-02-19 09.00;DK1;2918.27;313.10;407.47;-390.00;-426.00;1380.00
25-02-19 09.00;25-02-19 10.00;DK1;2943.29;308.75;419.70;-349.00;-570.00;1345.00
25-02-19 10.00;25-02-19 11.00;DK1;2913.28;302.84;447.65;-9.00;-499.00;1085.00
25-02-19 11.00;25-02-19 12.00;DK1;2808.59;343.21;404.35;583.00;-489.00;535.00
25-02-19 12.00;25-02-19 13.00;DK1;2789.20;381.78;350.08;660.00;-436.00;205.00
25-02-19 13.00;25-02-19 14.00;DK1;2708.14;450.08;400.62;598.00;-517.00;266.00
25-02-19 14.00;25-02-19 15.00;DK1;2623.90;562.19;441.45;-339.00;-54.00;555.00
25-02-19 15.00;25-02-19 16.00;DK1;2634.70;630.46;443.51;-459.00;-410.00;950.00
25-02-19 16.00;25-02-19 17.00;DK1;2865.34;695.08;430.79;-428.00;-395.00;1349.00
25-02-19 17.00;25-02-19 18.00;DK1;2931.39;719.55;456.14;-446.00;-533.00;1359.00
25-02-19 18.00;25-02-19 19.00;DK1;2740.21;790.46;458.94;-474.00;-335.00;1057.00
25-02-19 19.00;25-02-19 20.00;DK1;2529.49;770.04;462.55;-405.00;-74.00;643.00
25-02-19 20.00;25-02-19 21.00;DK1;2358.21;661.24;449.82;-356.00;-189.00;405.00
25-02-19 21.00;25-02-19 22.00;DK1;2228.28;596.29;456.93;-417.00;109.00;96.00
25-02-19 22.00;25-02-19 23.00;DK1;2074.45;575.16;438.21;-344.00;285.00;-51.00
25-02-19 23.00;26-02-19 00.00;DK1;1979.30;471.22;387.21;-19.00;231.00;-27.00
26-02-19 00.00;26-02-19 01.00;DK1;1918.97;383.35;317.65;-55.00;325.00;-26.00
26-02-19 01.00;26-02-19 02.00;DK1;1876.99;261.33;220.38;185.00;200.00;-38.00
26-02-19 02.00;26-02-19 03.00;DK1;1893.75;215.74;147.93;585.00;205.00;-366.00
26-02-19 03.00;26-02-19 04.00;DK1;1945.26;181.03;118.89;573.00;-142.00;172.00
26-02-19 04.00;26-02-19 05.00;DK1;2079.57;147.78;86.46;466.00;-272.00;778.00
26-02-19 05.00;26-02-19 06.00;DK1;2470.48;127.95;85.19;-357.00;-53.00;1345.00
26-02-19 06.00;26-02-19 07.00;DK1;2848.19;101.82;94.88;-296.00;-255.00;1380.00
26-02-19 07.00;26-02-19 08.00;DK1;2921.59;93.37;111.22;-328.00;-80.00;1380.00
26-02-19 08.00;26-02-19 09.00;DK1;2869.82;87.87;52.29;-322.00;101.00;1380.00
26-02-19 09.00;26-02-19 10.00;DK1;2862.29;80.76;60.75;-193.00;-174.00;1338.00
26-02-19 10.00;26-02-19 11.00;DK1;2827.82;90.11;58.09;664.00;-550.00;951.00
26-02-19 11.00;26-02-19 12.00;DK1;2719.16;113.25;47.68;665.00;-558.00;804.00
26-02-19 12.00;26-02-19 13.00;DK1;2734.22;156.37;61.85;696.00;-586.00;762.00
26-02-19 13.00;26-02-19 14.00;DK1;2699.59;202.51;52.63;674.00;-581.00;757.00
26-02-19 14.00;26-02-19 15.00;DK1;2570.29;283.74;61.51;492.00;-459.00;794.00
26-02-19 15.00;26-02-19 16.00;DK1;2559.72;275.03;99.06;-307.00;-160.00;1356.00
26-02-19 16.00;26-02-19 17.00;DK1;2754.58;276.99;131.55;-253.00;-177.00;1380.00
26-02-19 17.00;26-02-19 18.00;DK1;2845.24;364.68;100.07;-231.00;-339.00;1380.00
26-02-19 18.00;26-02-19 19.00;DK1;2698.98;471.01;79.29;-310.00;-315.00;1380.00
26-02-19 19.00;26-02-19 20.00;DK1;2523.09;569.50;140.10;-415.00;-330.00;1380.00
26-02-19 20.00;26-02-19 21.00;DK1;2388.95;678.40;184.71;-432.00;-344.00;1369.00
26-02-19 21.00;26-02-19 22.00;DK1;2205.12;744.10;169.49;-546.00;-119.00;1191.00
26-02-19 22.00;26-02-19 23.00;DK1;2030.76;772.94;167.58;-439.00;-117.00;823.00
26-02-19 23.00;27-02-19 00.00;DK1;1940.41;759.71;182.21;-283.00;109.00;368.00
27-02-19 00.00;27-02-19 01.00;DK1;1879.82;762.89;210.55;-244.00;136.00;101.00
27-02-19 01.00;27-02-19 02.00;DK1;1848.82;774.67;210.24;-309.00;218.00;129.00
27-02-19 02.00;27-02-19 03.00;DK1;1859.12;810.86;303.36;-310.00;180.00;171.00
27-02-19 03.00;27-02-19 04.00;DK1;1914.43;889.03;310.67;-340.00;172.00;229.00
27-02-19 04.00;27-02-19 05.00;DK1;2072.75;904.06;387.26;-410.00;228.00;419.00
27-02-19 05.00;27-02-19 06.00;DK1;2485.53;943.36;413.53;-457.00;-243.00;901.00
27-02-19 06.00;27-02-19 07.00;DK1;2823.96;893.64;460.79;-414.00;-568.00;1329.00
27-02-19 07.00;27-02-19 08.00;DK1;2861.29;866.81;446.17;-428.00;-588.00;1359.00
27-02-19 08.00;27-02-19 09.00;DK1;2818.25;659.48;420.62;-330.00;-555.00;1140.00
27-02-19 09.00;27-02-19 10.00;DK1;2781.20;493.62;448.74;-449.00;-134.00;787.00
27-02-19 10.00;27-02-19 11.00;DK1;2730.46;500.02;361.16;119.00;-289.00;569.00
27-02-19 11.00;27-02-19 12.00;DK1;2659.72;551.09;294.92;369.00;-155.00;-24.00
27-02-19 12.00;27-02-19 13.00;DK1;2658.69;616.11;415.58;468.00;-48.00;-349.00
27-02-19 13.00;27-02-19 14.00;DK1;2614.95;689.42;456.72;556.00;-269.00;-336.00
27-02-19 14.00;27-02-19 15.00;DK1;2543.14;777.39;493.07;532.00;-33.00;-382.00
27-02-19 15.00;27-02-19 16.00;DK1;2572.90;879.19;440.15;-319.00;-344.00;553.00
27-02-19 16.00;27-02-19 17.00;DK1;2762.10;1008.25;460.27;-410.00;-492.00;965.00
27-02-19 17.00;27-02-19 18.00;DK1;2840.45;1121.03;499.51;-421.00;-488.00;1065.00
27-02-19 18.00;27-02-19 19.00;DK1;2666.78;1191.56;510.70;-386.00;-377.00;626.00
27-02-19 19.00;27-02-19 20.00;DK1;2503.88;1183.48;528.94;-310.00;-291.00;32.00
27-02-19 20.00;27-02-19 21.00;DK1;2339.27;1145.51;525.69;76.00;90.00;-533.00
27-02-19 21.00;27-02-19 22.00;DK1;2165.24;1228.10;519.95;107.00;98.00;-615.00
27-02-19 22.00;27-02-19 23.00;DK1;2042.43;1340.10;555.00;198.00;-117.00;-451.00
27-02-19 23.00;28-02-19 00.00;DK1;1892.33;1343.44;573.25;78.00;-107.00;-712.00
28-02-19 00.00;28-02-19 01.00;DK1;1827.53;1230.73;600.83;126.00;168.00;-978.00
28-02-19 01.00;28-02-19 02.00;DK1;1833.10;1212.36;621.21;300.00;-102.00;-804.00
28-02-19 02.00;28-02-19 03.00;DK1;1836.11;1169.79;552.49;606.00;-293.00;-923.00
28-02-19 03.00;28-02-19 04.00;DK1;1908.58;1331.52;525.75;458.00;-569.00;-450.00
28-02-19 04.00;28-02-19 05.00;DK1;2086.27;1337.41;540.83;300.00;-555.00;-271.00
28-02-19 05.00;28-02-19 06.00;DK1;2415.68;1157.35;462.25;-409.00;-83.00;225.00
28-02-19 06.00;28-02-19 07.00;DK1;2784.10;987.52;365.50;-681.00;-128.00;764.00
28-02-19 07.00;28-02-19 08.00;DK1;2870.75;693.57;262.24;-173.00;-345.00;977.00
28-02-19 08.00;28-02-19 09.00;DK1;2812.59;409.44;270.64;589.00;-562.00;533.00
28-02-19 09.00;28-02-19 10.00;DK1;2829.56;237.35;195.12;1274.00;-438.00;-2.00
28-02-19 10.00;28-02-19 11.00;DK1;2793.17;162.78;142.78;1488.00;-524.00;-19.00
28-02-19 11.00;28-02-19 12.00;DK1;2721.95;111.73;121.01;1485.00;-585.00;148.00
28-02-19 12.00;28-02-19 13.00;DK1;2735.73;88.29;119.77;1527.00;-538.00;158.00
28-02-19 13.00;28-02-19 14.00;DK1;2649.88;102.09;91.67;1525.00;-464.00;93.00
28-02-19 14.00;28-02-19 15.00;DK1;2545.23;177.63;99.36;1371.00;-558.00;260.00
28-02-19 15.00;28-02-19 16.00;DK1;2544.86;220.53;81.86;583.00;-465.00;717.00
28-02-19 16.00;28-02-19 17.00;DK1;2734.53;202.53;64.45;-61.00;-292.00;1288.00
28-02-19 17.00;28-02-19 18.00;DK1;2823.22;239.63;47.34;-281.00;-212.00;1376.00
28-02-19 18.00;28-02-19 19.00;DK1;2686.12;283.33;43.60;-548.00;-102.00;1381.00
28-02-19 19.00;28-02-19 20.00;DK1;2521.59;204.18;48.03;-387.00;-128.00;1367.00
28-02-19 20.00;28-02-19 21.00;DK1;2339.50;151.26;49.36;-199.00;4.00;1152.00
28-02-19 21.00;28-02-19 22.00;DK1;2151.52;120.67;52.30;-29.00;82.00;785.00
28-02-19 22.00;28-02-19 23.00;DK1;1989.54;117.00;45.29;1018.00;-325.00;226.00
28-02-19 23.00;01-03-19 00.00;DK1;1926.56;145.42;48.20;1534.00;-526.00;-119.00
01-03-19 00.00;01-03-19 01.00;DK1;1882.22;176.79;75.88;1543.00;-323.00;-426.00
01-03-19 01.00;01-03-19 02.00;DK1;1871.61;183.70;108.62;1544.00;-71.00;-689.00
01-03-19 02.00;01-03-19 03.00;DK1;1894.64;204.49;119.39;1545.00;-55.00;-755.00
01-03-19 03.00;01-03-19 04.00;DK1;1945.48;192.16;132.95;1550.00;-132.00;-709.00
01-03-19 04.00;01-03-19 05.00;DK1;2087.10;215.36;122.88;1404.00;-431.00;-163.00
01-03-19 05.00;01-03-19 06.00;DK1;2462.46;237.43;105.30;153.00;-41.00;450.00
01-03-19 06.00;01-03-19 07.00;DK1;2812.65;244.22;121.32;124.00;-207.00;852.00
01-03-19 07.00;01-03-19 08.00;DK1;2906.03;233.58;144.07;-239.00;-264.00;1316.00
01-03-19 08.00;01-03-19 09.00;DK1;2861.33;235.85;163.21;-254.00;-485.00;1378.00
01-03-19 09.00;01-03-19 10.00;DK1;2844.58;247.51;203.22;-766.00;-239.00;1380.00
01-03-19 10.00;01-03-19 11.00;DK1;2777.20;267.77;176.57;-937.00;-7.00;1380.00
01-03-19 11.00;01-03-19 12.00;DK1;2632.28;277.98;133.31;-1037.00;-84.00;1381.00
01-03-19 12.00;01-03-19 13.00;DK1;2540.15;238.29;83.42;-1045.00;-156.00;1381.00
01-03-19 13.00;01-03-19 14.00;DK1;2406.30;210.52;40.17;-997.00;-106.00;1381.00
01-03-19 14.00;01-03-19 15.00;DK1;2350.05;184.87;19.77;-977.00;-22.00;1380.00
01-03-19 15.00;01-03-19 16.00;DK1;2386.50;107.59;4.41;-779.00;-71.00;1381.00
01-03-19 16.00;01-03-19 17.00;DK1;2587.19;72.60;4.53;-634.00;-132.00;1381.00
01-03-19 17.00;01-03-19 18.00;DK1;2681.35;44.97;18.17;-749.00;2.00;1380.00
01-03-19 18.00;01-03-19 19.00;DK1;2510.76;44.58;16.73;-864.00;-58.00;1381.00
01-03-19 19.00;01-03-19 20.00;DK1;2332.77;43.77;6.80;-707.00;-238.00;1380.00
01-03-19 20.00;01-03-19 21.00;DK1;2183.26;33.53;2.56;-852.00;-5.00;1380.00
01-03-19 21.00;01-03-19 22.00;DK1;2063.38;31.89;9.15;-901.00;75.00;1380.00
01-03-19 22.00;01-03-19 23.00;DK1;1940.83;49.73;11.13;-813.00;77.00;1347.00
01-03-19 23.00;02-03-19 00.00;DK1;1838.30;70.50;4.15;-274.00;145.00;760.00
02-03-19 00.00;02-03-19 01.00;DK1;1773.32;100.39;6.21;331.00;257.00;88.00
02-03-19 01.00;02-03-19 02.00;DK1;1789.74;171.86;36.01;949.00;267.00;-444.00
02-03-19 02.00;02-03-19 03.00;DK1;1801.67;222.49;48.09;1161.00;14.00;-462.00
02-03-19 03.00;02-03-19 04.00;DK1;1815.25;254.19;68.03;1423.00;-12.00;-690.00
02-03-19 04.00;02-03-19 05.00;DK1;1867.20;344.22;123.35;1341.00;-146.00;-574.00
02-03-19 05.00;02-03-19 06.00;DK1;1973.17;321.64;116.67;425.00;67.00;-18.00
02-03-19 06.00;02-03-19 07.00;DK1;2119.76;297.37;153.67;91.00;-386.00;586.00
02-03-19 07.00;02-03-19 08.00;DK1;2333.92;413.00;204.86;-1151.00;-158.00;1249.00
02-03-19 08.00;02-03-19 09.00;DK1;2417.38;342.72;214.05;-1240.00;-103.00;1273.00
02-03-19 09.00;02-03-19 10.00;DK1;2387.08;390.87;186.05;-1264.00;-89.00;1211.00
02-03-19 10.00;02-03-19 11.00;DK1;2314.15;506.53;146.31;-1268.00;137.00;723.00
02-03-19 11.00;02-03-19 12.00;DK1;2295.35;613.58;132.24;-1104.00;123.00;634.00
02-03-19 12.00;02-03-19 13.00;DK1;2249.09;806.62;218.69;-510.00;298.00;7.00
02-03-19 13.00;02-03-19 14.00;DK1;2222.98;1029.58;308.01;247.00;-67.00;-558.00
02-03-19 14.00;02-03-19 15.00;DK1;2231.79;1207.82;366.62;367.00;-183.00;-712.00
02-03-19 15.00;02-03-19 16.00;DK1;2307.36;1178.47;416.64;-168.00;-234.00;-217.00
02-03-19 16.00;02-03-19 17.00;DK1;2496.91;1324.11;375.50;-1064.00;-84.00;214.00
02-03-19 17.00;02-03-19 18.00;DK1;2584.76;1514.48;475.17;-1041.00;-5.00;13.00
02-03-19 18.00;02-03-19 19.00;DK1;2412.66;1700.46;577.82;-738.00;-37.00;-377.00
02-03-19 19.00;02-03-19 20.00;DK1;2256.19;1893.46;621.83;241.00;-550.00;-948.00
02-03-19 20.00;02-03-19 21.00;DK1;2113.23;1973.45;663.49;372.00;-590.00;-1159.00
02-03-19 21.00;02-03-19 22.00;DK1;1976.16;2055.01;663.60;249.00;-590.00;-1164.00
02-03-19 22.00;02-03-19 23.00;DK1;1944.17;2075.56;668.00;249.00;-486.00;-1042.00
02-03-19 23.00;03-03-19 00.00;DK1;1894.39;2036.71;673.64;328.00;-503.00;-950.00
03-03-19 00.00;03-03-19 01.00;DK1;1840.77;1910.88;677.05;543.00;-496.00;-915.00
03-03-19 01.00;03-03-19 02.00;DK1;1829.68;1818.32;672.40;531.00;-548.00;-750.00
03-03-19 02.00;03-03-19 03.00;DK1;1836.35;1873.11;672.67;437.00;-590.00;-634.00
03-03-19 03.00;03-03-19 04.00;DK1;1853.24;2066.53;671.27;126.00;-590.00;-496.00
03-03-19 04.00;03-03-19 05.00;DK1;1862.32;2073.85;489.74;428.00;-590.00;-533.00
03-03-19 05.00;03-03-19 06.00;DK1;1963.49;1970.52;92.93;965.00;-590.00;-446.00
03-03-19 06.00;03-03-19 07.00;DK1;2093.71;1787.11;106.28;1222.00;-590.00;-443.00
03-03-19 07.00;03-03-19 08.00;DK1;2271.67;1553.41;365.99;1349.00;-590.00;-511.00
