1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.07142857;0;0;0;0;0;0;40.07142857;0;0
0;0;0;0;0;0;0;0;0;0;54.60127592;10.92025518;38.22089314;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;6.399046105;0;0;0;0;0;15.35771065;0;0;6.399046105;0;10.23847377;0;0;8.958664547;0;0;0;0;0
0;0;0;0;18.69125214;0;0;0;0;0;0;0;0;20.12904077;0;0;0;37.38250429;0;0;0;0;0;0
0;0;0;0;0;0;17.81875;0;17.81875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;35.15517241;0;0;35.15517241;0;0;0;0;0;0;0;0;0
0;0;0;49.59042553;0;0;0;0;0;0;0;0;0;0;49.59042553;0;0;0;0;0;0;0;0;0
0;0;0;0;29.08920188;0;0;0;0;0;0;0;0;0;0;29.08920188;0;0;0;0;0;0;0;0
0;0;0;0;46.05066079;0;0;0;0;0;0;46.05066079;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;7.733471074;0;0;0;0;0;0;7.733471074;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;77.39344262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;21.5703125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;27.33663366;27.33663366;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;29.84166667;0;0;0;0;0;0;0;0;29.84166667;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.94021739;0;0;0;0;0;0;0
0;0;0;0;9.486387647;0.790532304;0;0;0;0;0;7.905323039;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;26.58174098;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;17.51377119;0;0;0;0;0;0;17.51377119;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;2.835741445;0;0;4.253612167;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;13.6615245;0;0;0;0;0;0;0;0;0;0
