1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0.00275355;0;0;0;0;0.032124753;0;0;0;0;0;0.032124753;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.114096954;0;0;0.114096954;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.018683794;0;0;0;0;0.018683794;0;0;0;0;0.01634832;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.051749058;0;0;0;0;0.051749058;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.064870188;0.058692075;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.046518231;0;0;0;0.046518231;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.104176576;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.152803952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0.06363397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.026225816;0;0;0;0.021854847;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.007601054;0.015202107;0;0.059541586;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.076023511;0;0;0
0;0;0;0;0;0;0;0;0;0;0.040191335;0;0.040191335;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.056100959;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.070947982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.016753136;0;0.016753136;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.094399746;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.02008457;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.032973985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012759679
