1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0066759;0;0;0;0;0;0;0.0066759;0;0
0;0;0;0;0;0;0;0;0;0;0.009096573;0.001819315;0.006367601;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0.001066081;0;0;0;0;0;0.002558595;0;0;0.001066081;0;0.00170573;0;0;0.001492514;0;0;0;0;0
0;0;0;0;0.003113963;0;0;0;0;0;0;0;0;0.003353498;0;0;0;0.006227925;0;0;0;0;0;0
0;0;0;0;0;0;0.002968604;0;0.002968604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.005856852;0;0;0.005856852;0;0;0;0;0;0;0;0;0
0;0;0;0.008261765;0;0;0;0;0;0;0;0;0;0;0.008261765;0;0;0;0;0;0;0;0;0
0;0;0;0;0.004846261;0;0;0;0;0;0;0;0;0;0;0.004846261;0;0;0;0;0;0;0;0
0;0;0;0;0.00767204;0;0;0;0;0;0;0.00767204;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.001288396;0;0;0;0;0;0;0.001288396;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.012893748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.003593614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.004554283;0.004554283;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.004971622;0;0;0;0;0;0;0;0;0.004971622;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00632084;0;0;0;0;0;0;0
0;0;0;0;0.001580432;0.000131703;0;0;0;0;0;0.001317027;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.004428518;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.002917794;0;0;0;0;0;0;0.002917794;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.000472435;0;0;0.000708652;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.00227601;0;0;0;0;0;0;0;0;0;0
